"No.","Time","Source","Destination","Protocol","Length","Info"
"5167","7.120155","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=55, FN=0, Flags=.......TC"
"5171","7.121223","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=59, FN=0, Flags=.......TC"
"5179","7.228310","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=56, FN=0, Flags=.......TC"
"5181","7.229369","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=60, FN=0, Flags=.......TC"
"5185","7.230563","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=61, FN=0, Flags=.......TC"
"5189","7.231576","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=62, FN=0, Flags=.......TC"
"5191","7.232635","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=57, FN=0, Flags=.......TC"
"5195","7.236546","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=58, FN=0, Flags=.......TC"
"5199","7.237857","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=57, FN=0, Flags=.......TC"
"5205","7.240730","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=58, FN=0, Flags=.......TC"
"5209","7.243939","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=59, FN=0, Flags=.......TC"
"5217","7.348318","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=63, FN=0, Flags=.......TC"
"5221","7.349214","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=64, FN=0, Flags=.......TC"
"5223","7.350446","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=59, FN=0, Flags=....R..TC"
"5225","7.351513","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=60, FN=0, Flags=....R..TC"
"5229","7.352815","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=65, FN=0, Flags=.......TC"
"5233","7.353945","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=61, FN=0, Flags=.......TC"
"5237","7.355805","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=60, FN=0, Flags=.......TC"
"5241","7.358925","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=62, FN=0, Flags=.......TC"
"5245","7.359497","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=63, FN=0, Flags=.......TC"
"5249","7.360583","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=66, FN=0, Flags=.......TC"
"5253","7.364602","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=61, FN=0, Flags=.......TC"
"5261","7.468416","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=67, FN=0, Flags=.......TC"
"5263","7.469483","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=62, FN=0, Flags=....R..TC"
"5265","7.470578","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=64, FN=0, Flags=....R..TC"
"5269","7.472572","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=63, FN=0, Flags=.......TC"
"5273","7.473631","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=65, FN=0, Flags=.......TC"
"5277","7.475347","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=64, FN=0, Flags=.......TC"
"5283","7.478007","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=65, FN=0, Flags=.......TC"
"5285","7.479075","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=68, FN=0, Flags=.......TC"
"5290","7.480666","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=66, FN=0, Flags=....R..TC"
"5294","7.481725","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=66, FN=0, Flags=.......TC"
"5298","7.485276","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=69, FN=0, Flags=.......TC"
"5306","7.588305","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=67, FN=0, Flags=.......TC"
